id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1592402651395764224,"https://twitter.com/CryptoNews2000/statuses/1592402651395764224","https://twitter.com/CryptoNews2000/statuses/1592402651395764224","CryptoNews2000","""The whole future lies in uncertainty: live immediately.""  -Seneca. #Seneca #Stoic #Quote #Philosophy #Stoics #thoughtoftheday #Reading #Aphorism #stoicism  https://t.co/TdQBYSOqJO","""The whole future lies in uncertainty: live immediately.""  -Seneca. #Seneca #Stoic #Quote #Philosophy #Stoics #thoughtoftheday #Reading #Aphorism #stoicism  https://t.co/TdQBYSOqJO","2022-11-15 01:22:32","Twitter Web App",0,0,"en","","original","",0,0,"",0,0,1089532715366576132,"https://pbs.twimg.com/profile_images/1451496098636386304/cc40bhqc_normal.jpg",10603,5003,1806,"2019-01-27 09:36:56","❤ Stoicism and Markets","Outerspace","",
2,1592393595885166599,"https://twitter.com/JosueVargasJ/statuses/1592393595885166599","https://twitter.com/JosueVargasJ/statuses/1592393595885166599","JosueVargasJ","So, this is part of why I\'m entitling this post ""Stoic Salad"", cause it\'s a good post for your mental health, but also it\'s a salad, a blend of ingredients: some classic stoicism will be the predominant flavor, but I\'m adding some of my own discoveries, my treasures from…","So, this is part of why I\'m entitling this post ""Stoic Salad"", cause it\'s a good post for your mental health, but also it\'s a salad, a blend of ingredients: some classic stoicism will be the predominant flavor, but I\'m adding some of my own discoveries, my treasures from…","2022-11-15 00:46:33","WordPress.com",0,0,"en","","reply","JosueVargasJ",4676396522,1592393595302150144,"",0,0,4676396522,"https://pbs.twimg.com/profile_images/1582518198037004293/Wl8V1NpU_normal.jpg",1460,962,189,"2015-12-30 00:07:03","I\'m a writer, artist, cybersecurity engineer and new crypto/NFT enthusiast. I\'m interested in building community while providing value.","","",
3,1592384173758554113,"https://twitter.com/Baptistawitz/statuses/1592384173758554113","https://twitter.com/Baptistawitz/statuses/1592384173758554113","Baptistawitz","People talk a lot about #Stoicism but don\'t necessarily put it into practice in daily life. There are many Stoic exercises. I honestly think that for *some* people the key would be contemplating the View from Above regularly – it encapsulates the philosophy. - Donald Robertson","People talk a lot about #Stoicism but don\'t necessarily put it into practice in daily life. There are many Stoic exercises. I honestly think that for *some* people the key would be contemplating the View from Above regularly – it encapsulates the philosophy. - Donald Robertson","2022-11-15 00:09:06","Twitter for iPhone",0,0,"en","","original","",0,0,"",0,0,53976361,"https://pbs.twimg.com/profile_images/1503953616826253316/QiLOFXTX_normal.jpg",1060,290,228,"2009-07-05 14:58:21","Delivering strategy, business transformations & technology since ‘94 🚀CIO/COO by title, entrepreneur at heart ❤️ Self-Actualisation loading…","ÜT: -26.148101,28.006369","",
4,1592371732324966400,"https://twitter.com/StayatHomeMurse/statuses/1592371732324966400","https://twitter.com/StayatHomeMurse/statuses/1592371732324966400","StayatHomeMurse","I just summed up stoic philosophy for my wife with “get punched in the dick and like it, because if you can get punched in the dick and feel it, then you are still alive” #shewasntimpressed #stoic #stoicism","I just summed up stoic philosophy for my wife with “get punched in the dick and like it, because if you can get punched in the dick and feel it, then you are still alive” #shewasntimpressed #stoic #stoicism","2022-11-14 23:19:40","Twitter for iPhone",0,0,"en","","original","",0,0,"",0,0,1518751201726189568,"https://pbs.twimg.com/profile_images/1536360644072685568/njQUDj_S_normal.jpg",550,74,8,"2022-04-25 20:38:10","Father by day, murse by night. Constantly curious, blissfully well informed.","","",
5,1592368050493276161,"https://twitter.com/AgilePeter/statuses/1592368050493276161","https://twitter.com/AgilePeter/statuses/1592368050493276161","AgilePeter","📣 New Podcast! ""Try the Opposite - DAY 178 - The Daily Stoic 365 Day Devotional"" on @Spreaker #stoic #stoicism #stoicwisdom #thedailystoic https://t.co/Uy3pUQO2Pq","📣 New Podcast! ""Try the Opposite - DAY 178 - The Daily Stoic 365 Day Devotional"" on @Spreaker #stoic #stoicism #stoicwisdom #thedailystoic https://t.co/Uy3pUQO2Pq","2022-11-14 23:05:02","Spreaker",1,0,"en","","original","",0,0,"",0,0,14363167,"https://pbs.twimg.com/profile_images/1367641587208114179/2F3Vh_9__normal.jpg",22760,37,85679,"2008-04-11 14:10:07","Multi-Founder & VC @ #VentureMedia👇","Not Financial Advice","",
6,1592356719526809604,"https://twitter.com/AbhijeetPhulsun/statuses/1592356719526809604","https://twitter.com/AbhijeetPhulsun/statuses/1592356719526809604","AbhijeetPhulsun","#आपलीचमाणसे#secretspiritstar#मराठीमहात्मा#translatemind#ma rathiहृदय#marathiकृष्ण #आम्हीकोणसदर #aristotle #philosophy #socrates #plato #stoicism #marcusaurelius #stoicphilosophy #philosopher #seneca #stoic #epictetus #philosophyquotes #wisdom #carljung #quotes https://t.co/wKqvCQXyKJ","#आपलीचमाणसे#secretspiritstar#मराठीमहात्मा#translatemind#ma rathiहृदय#marathiकृष्ण #आम्हीकोणसदर #aristotle #philosophy #socrates #plato #stoicism #marcusaurelius #stoicphilosophy #philosopher #seneca #stoic #epictetus #philosophyquotes #wisdom #carljung #quotes https://t.co/wKqvCQXyKJ","2022-11-14 22:20:01","Twitter for Android",0,0,"und","","original","",0,0,"",0,0,972747556311707648,"https://pbs.twimg.com/profile_images/1575736593423675394/4NExMe7W_normal.jpg",236,294,17,"2018-03-11 04:14:25","|Adovcate|New & Different Think||Rational 😅 analysis| quotes own views|  |simple|cool ☺|changing the🌍 world for good|#positive #मराठी #logicaltruth","Pune, India","",
7,1592342878700945410,"https://twitter.com/InspireMeQuote5/statuses/1592342878700945410","https://twitter.com/InspireMeQuote5/statuses/1592342878700945410","InspireMeQuote5","Anger is just proof of how unrealistic your expectations were - Stoic Quotes Photographic Print by  https://t.co/054TY4hckO ✍🏼 #stoic #stoicism #quotesoftheday  #redbubble @redbubble https://t.co/Q4eI92wRAI","Anger is just proof of how unrealistic your expectations were - Stoic Quotes Photographic Print by  https://t.co/054TY4hckO ✍🏼 #stoic #stoicism #quotesoftheday  #redbubble @redbubble https://t.co/Q4eI92wRAI","2022-11-14 21:25:01","Buffer",0,0,"en","","original","",0,0,"",0,0,1253417040682954755,"https://pbs.twimg.com/profile_images/1336086086855122945/sQUExzOp_normal.jpg",1266,39,78,"2020-04-23 16:15:05","Sharing #inspirational #quotes from the world\'s best philosophers, #positive sayings and #motivational words to help you improve your life today.","","",
8,1592341496337993729,"https://twitter.com/StoicSolutions/statuses/1592341496337993729","https://twitter.com/StoicSolutions/statuses/1592341496337993729","StoicSolutions","Marcus Aurelius was quoted, “Do not indulge in dreams of having what you have not, but reckon up the chief of the blessings you do possess...""  https://t.co/6oEin1dNBd  #Stoic #Stoicism #StoicPhilosophy #Psychology #Philosophy","Marcus Aurelius was quoted, “Do not indulge in dreams of having what you have not, but reckon up the chief of the blessings you do possess...""  https://t.co/6oEin1dNBd  #Stoic #Stoicism #StoicPhilosophy #Psychology #Philosophy","2022-11-14 21:19:31","Twitter for Android",1,0,"en","","original","",0,0,"",0,0,973735977016594434,"https://pbs.twimg.com/profile_images/980603498889805824/S12QPXGX_normal.jpg",1003,161,1467,"2018-03-13 21:42:02","Practical wisdom inspired by Philosophers of Ancient Greece, Rome  #Stoicism #Stoic #Philosophy #StoicPhilosophy  Other accounts: @justinvacula @hgtravelpodcast","Bensalem, PA","",
9,1592340986369544192,"https://twitter.com/jackanthonyken/statuses/1592340986369544192","https://twitter.com/jackanthonyken/statuses/1592340986369544192","jackanthonyken","#stoicism #stoic #stoicdad #stoicmind #stoiclife #stoictraveller https://t.co/GYxqMhdGPK","#stoicism #stoic #stoicdad #stoicmind #stoiclife #stoictraveller https://t.co/GYxqMhdGPK","2022-11-14 21:17:30","Twitter for Android",0,0,"und","","original","",0,0,"",0,0,1477023791473565696,"https://pbs.twimg.com/profile_images/1497489261896949761/g6zT_Iae_normal.jpg",602,40,496,"2021-12-31 16:08:19","Not old enough to try outrageous things in life. Indulge and be happy.","Medellin, Central Visayas","",
10,1592321372117946368,"https://twitter.com/mars_and_stuff/statuses/1592321372117946368","https://twitter.com/mars_and_stuff/statuses/1592321372117946368","mars_and_stuff","If you’re not familiar with Stoicism, watching this video should be your most valuable 30min of 2022.  Marcus Aurelius\' Meditations: The Stoic Ideal https://t.co/Uk8GZtouCi via @YouTube","If you’re not familiar with Stoicism, watching this video should be your most valuable 30min of 2022.  Marcus Aurelius\' Meditations: The Stoic Ideal https://t.co/Uk8GZtouCi via @YouTube","2022-11-14 19:59:33","Twitter for iPhone",0,0,"en","","original","",0,0,"",0,0,1399193447504826370,"https://pbs.twimg.com/profile_images/1399194413859950596/qilFUsv0_normal.jpg",798,1073,958,"2021-05-30 22:38:19","Just curious.","Sydney, New South Wales","",
